Owner,total_capacity,number_of_plants,number_of_countries,number_of_regions,avg_litpop_value_usd,largest_plant,Latitude,Longitude
ArcelorMittal Nippon Steel India Ltd,86500.0,5,1,1,1028284804.7500484,ArcelorMittal Nippon Steel Anakapalle steel plant,17.407103,82.723183
JSW Steel Ltd,59859.0,5,1,1,390503654.86848414,JSW Steel Gadchiroli steel plant,20.1846793,79.9957641
Steel Authority of India Ltd,57190.0,8,1,1,3249196970.62921,SAIL Bokaro steel plant,23.671677,86.10687
Nippon Steel Corp,53666.0,10,1,1,13035898661.493433,Nippon East Japan Works (Kimitsu) steel plant,35.360912,139.881953
POSCO Holdings Inc,46757.0,2,1,1,,POSCO Gwangyang steel plant,34.920086,127.74865
JFE Steel Corp,34843.0,5,1,1,78559959627.55774,JFE West Japan Works (Fukuyama) steel plant,34.465222,133.431205
Tata Steel Ltd,34830.0,6,2,1,1952889413.1808407,Tata Steel Meramandali steel plant,20.796053,85.260382
Angang Steel Co Ltd,33700.0,3,1,1,17992253793.146187,Angang Steel Co Ltd,41.148267,122.983054
Jindal Steel Limited Ltd,33200.0,5,1,1,374314226.8259558,Jindal Steel Raigarh steel plant,21.922703,83.347178
Cleveland-Cliffs Inc,29109.0,12,2,1,,Cleveland-Cliffs Indiana Harbor steel plant,41.669553,-87.438429
Hyundai Steel Co,26997.0,4,2,2,,Hyundai Steel Dangjin steel plant,36.986282,126.69735
Rizhao Steel Holding Group Co Ltd,23350.0,1,1,1,784949051.4879102,Rizhao Steel Holding Group Co Ltd,35.16535,119.366672
Formosa Ha Tinh Steel Corp,21500.0,1,1,1,,Formosa Ha Tinh Steel plant,18.036333,106.428271
Nucor Corp,21387.0,13,1,1,,Nucor Steel West Virginia steel plant,38.647729,-82.175875
United States Steel Corp,21200.0,6,1,1,,U.S. Steel Gary Works,41.620799,-87.348266
Dexin Steel Pte Ltd,21000.0,1,1,1,,Dexin Steel Morowali plant,-2.829514,122.174896
Wuhan Iron and Steel Co Ltd,20907.0,2,2,1,13274108766.720098,Wuhan Iron and Steel Co Ltd,30.616222,114.444975
Maanshan Iron & Steel Co Ltd,20800.0,1,1,1,14161932205.740225,Maanshan Iron and Steel Co Ltd,31.698884,118.468194
Jiangsu Shagang Iron & Steel Co Ltd,20585.0,1,1,1,5778523153.580064,Jiangsu Shagang Iron & Steel Co Ltd,31.983146,120.638992
Baoshan Iron & Steel Co Ltd,19800.0,1,1,1,72345769161.90762,Baoshan Iron and Steel Co Ltd Headquarters,31.41623,121.440087
Jindal Steel Odisha Ltd,19200.0,1,1,1,322827125.6345241,JSOL Angul steel plant,20.874713,84.944082
